site,metric,quadrant,month,performance,target,pct_change,trend,distance_from_target,intervention,prior_interventions,outcome_n1,outcome_n2,outcome_n3,outcome_n4
SITE_A,Metric_1,Quality,2024-07-31,0.82,0.85,-0.02,DOWN,0.03,0,0,0.01,0.02,0.03,0.04
SITE_A,Metric_1,Quality,2024-08-31,0.80,0.85,-0.02,DOWN,0.05,1,0,0.02,0.03,0.04,0.05
SITE_A,Metric_1,Quality,2024-09-30,0.83,0.85,0.04,UP,0.02,0,1,0.01,0.01,0.02,0.03
SITE_A,Metric_1,Quality,2024-10-31,0.84,0.85,0.01,UP,0.01,0,1,0.01,0.02,0.02,0.03
SITE_A,Metric_1,Quality,2024-11-30,0.86,0.85,0.02,UP,0.00,0,1,0.02,0.02,0.03,0.03
SITE_A,Metric_2,Finance,2024-07-31,0.70,0.80,-0.05,DOWN,0.10,1,0,-0.01,0.01,0.02,0.03
SITE_A,Metric_2,Finance,2024-08-31,0.68,0.80,-0.03,DOWN,0.12,1,1,-0.02,0.00,0.01,0.02
SITE_A,Metric_2,Finance,2024-09-30,0.72,0.80,0.06,UP,0.08,0,2,0.01,0.02,0.03,0.04
SITE_A,Metric_2,Finance,2024-10-31,0.75,0.80,0.04,UP,0.05,0,2,0.01,0.02,0.03,0.04
SITE_A,Metric_2,Finance,2024-11-30,0.78,0.80,0.04,UP,0.02,0,2,0.02,0.02,0.03,0.03
SITE_B,Metric_1,Quality,2024-07-31,0.88,0.90,-0.01,DOWN,0.02,0,0,0.01,0.01,0.02,0.02
SITE_B,Metric_1,Quality,2024-08-31,0.87,0.90,-0.01,DOWN,0.03,1,0,0.02,0.02,0.03,0.04
SITE_B,Metric_1,Quality,2024-09-30,0.89,0.90,0.02,UP,0.01,0,1,0.01,0.01,0.02,0.02
SITE_B,Metric_1,Quality,2024-10-31,0.91,0.90,0.02,UP,0.00,0,1,0.01,0.01,0.01,0.02
SITE_B,Metric_3,Service,2024-07-31,0.60,0.75,-0.08,DOWN,0.15,1,0,-0.02,-0.01,0.01,0.02
SITE_B,Metric_3,Service,2024-08-31,0.58,0.75,-0.03,DOWN,0.17,1,1,-0.03,-0.01,0.00,0.01
SITE_B,Metric_3,Service,2024-09-30,0.61,0.75,0.05,UP,0.14,0,2,0.01,0.01,0.02,0.03
SITE_B,Metric_3,Service,2024-10-31,0.63,0.75,0.03,UP,0.12,0,2,0.01,0.02,0.02,0.03
SITE_C,Metric_4,Culture,2024-07-31,0.77,0.80,-0.02,DOWN,0.03,0,0,0.01,0.01,0.02,0.02
SITE_C,Metric_4,Culture,2024-08-31,0.75,0.80,-0.03,DOWN,0.05,1,0,0.02,0.03,0.04,0.05
SITE_C,Metric_4,Culture,2024-09-30,0.79,0.80,0.05,UP,0.01,0,1,0.01,0.01,0.02,0.02
SITE_C,Metric_4,Culture,2024-10-31,0.81,0.80,0.03,UP,0.00,0,1,0.01,0.01,0.01,0.02
SITE_C,Metric_2,Finance,2024-07-31,0.65,0.78,-0.0
